"characters_id","characters_name","characters_images","characters_jutsu","characters_personal","characters_uniqueTraits","characters_natureType","characters_rank","characters_tools","characters_debut_novel","characters_debut_movie","characters_debut_appearsIn","characters_debut_manga","characters_debut_anime","characters_debut_game","characters_debut_ova","characters_family_incarnation-with-the-god-tree","characters_family_depowered-form","characters_family_son","characters_family_nephew","characters_family_adoptive-son","characters_family_father","characters_family_adoptive-brother","characters_family_cousin","characters_family_adoptive-father","characters_family_brother","characters_family_husband","characters_family_father","characters_family_grandniece","characters_family_grandmother","characters_family_grandfather","characters_family_mother","characters_family_granduncle","characters_family_daughter","characters_family_wife","characters_family_uncle","characters_family_granddaughter","characters_family_fiancée","characters_family_owner","characters_family_sister","characters_family_ex-husband","characters_family_younger-cousin","characters_family_uncle","characters_family_adoptive-cousin","characters_family_grandson","characters_family_younger-brother","characters_family_creator","characters_family_sibling","characters_family_unknown-kinship","characters_family_genetic-source","characters_family_creator/father","characters_family_original-form","characters_family_adoptive-daughter","characters_family_grandnephew","characters_family_adoptive-mother","characters_family_adoptive-sister","characters_family_fiancé","characters_family_lover","characters_family_twin-brother","characters_family_older-brother","characters_family_mother","characters_family_niece","characters_family_adoptive-nephew","characters_family_wife","characters_family_adoptive-grandson","characters_family_first-cousin-once-removed","characters_family_stepfather","characters_family_granddaughter","characters_family_grandson","characters_family_great-great-granddaughter","characters_family_great-great-grandson","characters_family_creation","characters_family_grandmother","characters_family_oldest-brother","characters_family_host","characters_family_clone","characters_family_godson","characters_family_son","characters_family_brother","characters_family_step-son","characters_family_pet","characters_family_genetic-template","characters_family_daughter","characters_family_adoptive-grandfather","characters_family_adoptive-aunt","characters_family_great-great-grandfather","characters_family_great-great-grandfather","characters_family_genetic-template/parent","characters_family_clone/brother","characters_family_altered-clone","characters_family_pet","characters_family_younger-brother","characters_family_unknown-kinship","characters_family_granduncle","characters_family_great-grandfather","characters_family_creation/clone","characters_family_creation","characters_family_clone/son","characters_family_grandfather","characters_family_creations","characters_family_vessel","characters_family_lover","characters_family_foster-son","characters_family_foster-father","characters_family_youngest-brother","characters_family_creation/clone-daughter","characters_family_spouse","characters_family_great-granddaughter","characters_family_great-grandson","characters_family_younger-relative","characters_family_adoptive-grandmother","characters_family_adoptive-granduncle","characters_family_adoptive-uncle","characters_family_distant-relative","characters_family_ex-wife","characters_family_descendant","characters_family_ancestor","characters_family_adoptive-nephews","characters_family_aunt","characters_family_godfather","characters_family_genetic-donor","characters_family_chakra-donor","characters_family_adoptive-sons","characters_family_adoptive-grandsons","characters_family_great-nephew","characters_family_adoptive-great-nephew","characters_voiceActors_japanese","characters_voiceActors_english","currentPage","pageSize","totalCharacters"
0,"Zero-Tails","https://static.wikia.nocookie.net/naruto/images/8/87/Zero_tails.png","Shadow Arms","Leech","Leech","","","","Naruto Shippūden the Movie: Bonds","Naruto Shippūden the Movie: Bonds","Novel, Movie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
1,"Ten-Tails","https://static.wikia.nocookie.net/naruto/images/e/e6/Ten-Tails_emerges.png","Six Paths Senjutsu; Tailed Beast Ball; Tailed Beast Chakra Arms; Tailed Beast Shockwave; Ten-Tails Fission; Tenpenchii; Truth-Seeking Ball; Wood Release: Cutting Technique","Incapacitated; Wood Release; Tailed Beast; c(""Hagoromo Ōtsutsuki"", ""Obito Uchiha"", ""Madara Uchiha""); c(""十尾Jūbi"", ""one-eyedGod(天目一箇神,AmeNoHitotsuNoKami)"", ""datara(ダタラ)"", ""deidarabotchi(デイダラボッチ,Deidarabocchi)"", ""nation-buildingGod(国造りの神,KunizukuriNoKami)"")","Incapacitated; Wood Release; Tailed Beast; c(""Hagoromo Ōtsutsuki"", ""Obito Uchiha"", ""Madara Uchiha""); c(""十尾Jūbi"", ""one-eyedGod(天目一箇神,AmeNoHitotsuNoKami)"", ""datara(ダタラ)"", ""deidarabotchi(デイダラボッチ,Deidarabocchi)"", ""nation-buildingGod(国造りの神,KunizukuriNoKami)"")","Fire Release; Wind Release; Lightning Release; Earth Release; Water Release; Wood Release; Yin Release; Yang Release; Yin–Yang Release","","","The Last: Naruto the Movie","The Last: Naruto the Movie","Anime, Manga, Novel, Game, Movie","Naruto Chapter #467","Naruto Shippūden Episode #205","Naruto Shippūden: Ultimate Ninja Storm Revolution","The Far Reaches of Hope","Kaguya Ōtsutsuki","Demonic Statue of the Outer Path",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
2,"Three-Headed Guardian Beast","https://static.wikia.nocookie.net/naruto/images/7/79/Three-Heads_after_release.png","","Yumegakure","Yumegakure","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
3,"A (First Raikage)","https://static.wikia.nocookie.net/naruto/images/7/70/A.png","","December 1; Male; Deceased; list(`Part II` = ""210.1cm""); list(`Part II` = ""97.2kg""); O; Raikage; Kumogakure","December 1; Male; Deceased; list(`Part II` = ""210.1cm""); list(`Part II` = ""97.2kg""); O; Raikage; Kumogakure","","list(`Part II` = ""Kage"")","",NA,NA,"Anime, Manga","Naruto Chapter #648","Naruto Shippūden Episode #369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kōsuke Gotō","Steven Blum",1,1431,1431
4,"A (Second Raikage)","https://static.wikia.nocookie.net/naruto/images/3/3f/2nd_Raikage.png","","March 1; Male; Deceased; list(`Part II` = ""184.2cm""); list(`Part II` = ""84.2kg""); O; Raikage; Kumogakure","March 1; Male; Deceased; list(`Part II` = ""184.2cm""); list(`Part II` = ""84.2kg""); O; Raikage; Kumogakure","","list(`Part II` = ""Kage"")","",NA,NA,"Anime, Manga","Naruto Chapter #527","Naruto Shippūden Episode #269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1431,1431
5,"A (Third Raikage)","https://static.wikia.nocookie.net/naruto/images/f/f5/Raikage3.png","Black Lightning; Body Flicker Technique; Hell Stab; Lightning Release Chakra Mode; Lightning Straight","August 1; Male; Deceased; list(`Part II` = ""205cm""); list(`Part II` = ""105.1kg""); O; Raikage; Kumogakure; Eight-Tails Subduing Team; Blue B","August 1; Male; Deceased; list(`Part II` = ""205cm""); list(`Part II` = ""105.1kg""); O; Raikage; Kumogakure; Eight-Tails Subduing Team; Blue B","Lightning Release; Earth Release; Fire Release","list(`Part II` = ""Kage"")","Kohaku no Jōhei",NA,NA,"Anime, Manga, Game","Naruto Chapter #494","Naruto Shippūden Episode #244","Naruto Shippūden: Ultimate Ninja Storm 3",NA,NA,NA,"A","Blue B","Killer B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naoki Tamanoi","Beau Billingslea   (episodes 244-281; 302+); Neil Kaplan   (episodes 282-301); Fred Tatasciore   (Ultimate Ninja Storm 3)",1,1431,1431
6,"A (Fourth Raikage)","https://static.wikia.nocookie.net/naruto/images/4/4c/Fourth_Raikage_2.png; https://static.wikia.nocookie.net/naruto/images/4/4b/A_Part_III.png","Body Flicker Technique; Drop Kick (Anime only); Elbow; Guillotine Drop; Iron Claw; Liger Bomb; Lightning Oppression Horizontal; Lightning Oppression Horizontal Chop; Lightning Release Chakra Mode; Lightning Release: Double Lariat; Lightning Release: Lariat; Lightning Straight; Lightning Water Dragon Bullet","June 1; Male; list(`Part II` = ""47""); list(`Part II` = ""198.2cm""); list(`Part II` = ""101.1kg""); A; c(""Raikage"", ""Supreme Leader of the Allied Shinobi Forces""); c(""Kumogakure"", ""Allied Shinobi Forces""); c(""Eight-Tails Subduing Team"", ""A–B Combo""); Killer B","June 1; Male; list(`Part II` = ""47""); list(`Part II` = ""198.2cm""); list(`Part II` = ""101.1kg""); A; c(""Raikage"", ""Supreme Leader of the Allied Shinobi Forces""); c(""Kumogakure"", ""Allied Shinobi Forces""); c(""Eight-Tails Subduing Team"", ""A–B Combo""); Killer B","Lightning Release; Earth Release; Water Release","list(`Part II` = ""Kage""); CL2211","Chakra Cannon; Vambraces","Kakashi Hiden: Lightning in the Icy Sky","Naruto the Movie: Blood Prison","Anime, Manga, Novel, Game, Movie","Naruto Chapter #416","Naruto Shippūden Episode #152","Naruto Shippūden: Gekitō Ninja Taisen! Special","Naruto Shippūden: UNSG anime cutscenes",NA,NA,NA,NA,NA,"A","Killer B","Blue B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hideaki Tezuka","Beau Billingslea",1,1431,1431
7,"Abiru","https://static.wikia.nocookie.net/naruto/images/7/72/Abiru_new.png","","Male; list(`Part I` = ""6""); Sunagakure","Male; list(`Part I` = ""6""); Sunagakure","","list(`Part I` = ""Academy Student"")","",NA,NA,"Anime, Manga","Naruto Chapter #129","Naruto Episode #75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Dave Wittenberg   (Part I)",1,1431,1431
8,"Zaku Abumi","https://static.wikia.nocookie.net/naruto/images/4/40/Zaku_Abumi.png","Naruto: Ultimate Ninja Online14 April 201320 July 2016","September 14; Male; list(`Part I` = ""14""); Deceased; list(`Part I` = ""157.3cm""); list(`Part I` = ""49kg""); AB; Otogakure; Team Dosu","September 14; Male; list(`Part I` = ""14""); Deceased; list(`Part I` = ""157.3cm""); list(`Part I` = ""49kg""); AB; Otogakure; Team Dosu","","","",NA,NA,"Anime, Manga, Game","Naruto Chapter #35","Naruto Episode #21","Naruto: Path of the Ninja","Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Keijin Okuda; Sōichirō Hoshi   (Child)","Sam Riegel; Richard Cansino   (Naruto: Ultimate Ninja)",1,1431,1431
9,"Harika Aburame","https://static.wikia.nocookie.net/naruto/images/4/4e/Harika_Aburame.png","Parasitic Destruction Insect Technique (Kikaichū)","Female; Konohagakure; Aburame","Female; Konohagakure; Aburame","","list(`Boruto Manga` = ""Academy Student"")","",NA,NA,"Anime",NA,"Boruto Episode #261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tomo Muranaka","",1,1431,1431
